Number,price,house_type,house_type_v2,house_type_2,rooms,rooms_v2,m2,m2_v2,price_m2,elevator,garage,neighborhood,district
22,"293,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,77,Piso peque,"3,805",SI,NO,Palos de Moguer,Arganzuela
23,"190,000",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,48,Piso peque,"3,958",NO,NO,Imperial,Arganzuela
24,"299,000",planta 5,Plantas intermedias,interior,2,1 - 5 rooms,60,Piso peque,"4,983",SI,NO,Palos de Moguer,Arganzuela
25,"360,000",planta 5,Plantas intermedias,exterior,1,1 - 5 rooms,62,Piso peque,"5,806",SI,SI,Imperial,Arganzuela
26,"335,000",planta 5,Plantas intermedias,exterior,1,1 - 5 rooms,54,Piso peque,"6,204",SI,SI,Imperial,Arganzuela
27,"359,900",planta 8,Plantas intermedias,exterior,1,1 - 5 rooms,62,Piso peque,"5,805",SI,SI,Legazpi,Arganzuela
28,"235,000",planta 2,Plantas inferiores,interior,1,1 - 5 rooms,59,Piso peque,"3,983",SI,NO,Palos de Moguer,Arganzuela
29,"315,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,72,Piso peque,"4,375",SI,NO,Delicias,Arganzuela
30,"530,000",planta 6,Plantas intermedias,exterior,2,1 - 5 rooms,133,Piso intermedio,"3,985",SI,NO,Palos de Moguer,Arganzuela
31,"293,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,77,Piso peque,"3,805",SI,NO,Palos de Moguer,Arganzuela
32,"310,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,72,Piso peque,"4,306",SI,NO,Delicias,Arganzuela
33,"387,900",planta 2,Plantas inferiores,exterior,1,1 - 5 rooms,64,Piso peque,"6,061",SI,SI,Legazpi,Arganzuela
34,"729,000",planta 3,Plantas inferiores,exterior,5,1 - 5 rooms,175,Piso grande,"4,166",SI,NO,Imperial,Arganzuela
35,"243,000",planta 3,Plantas inferiores,exterior,3,1 - 5 rooms,55,Piso peque,"4,418",NO,NO,Legazpi,Arganzuela
36,"460,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,125,Piso intermedio,"3,680",SI,NO,Delicias,Arganzuela
37,"458,000",planta 1,Plantas inferiores,exterior,2,1 - 5 rooms,71,Piso peque,"6,451",SI,SI,Imperial,Arganzuela
38,"475,000",planta 1,Plantas inferiores,exterior,2,1 - 5 rooms,95,Piso peque,"5,000",SI,SI,Legazpi,Arganzuela
39,"357,000",planta 1,Plantas inferiores,exterior,1,1 - 5 rooms,86,Piso peque,"4,151",SI,SI,Legazpi,Arganzuela
40,"550,000",planta 2,Plantas inferiores,interior,3,1 - 5 rooms,130,Piso intermedio,"4,231",SI,NO,Imperial,Arganzuela
41,"475,000",planta 4,Plantas inferiores,exterior,2,1 - 5 rooms,105,Piso intermedio,"4,524",SI,SI,Legazpi,Arganzuela
42,"293,000",planta 2,Plantas inferiores,interior,3,1 - 5 rooms,74,Piso peque,"3,959",SI,NO,Palos de Moguer,Arganzuela
43,"282,900",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,47,Piso peque,"6,019",SI,NO,Acacias,Arganzuela
44,"235,000",planta 3,Plantas inferiores,interior,1,1 - 5 rooms,36,Piso peque,"6,528",SI,NO,Delicias,Arganzuela
45,"385,000",planta 4,Plantas inferiores,interior,2,1 - 5 rooms,98,Piso peque,"3,929",SI,NO,Legazpi,Arganzuela
46,"390,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,95,Piso peque,"4,105",SI,NO,Chopera,Arganzuela
47,"575,000",planta 2,Plantas inferiores,interior,3,1 - 5 rooms,143,Piso intermedio,"4,021",SI,SI,Acacias,Arganzuela
48,"530,000",planta 6,Plantas intermedias,exterior,2,1 - 5 rooms,133,Piso intermedio,"3,985",SI,NO,Palos de Moguer,Arganzuela
49,"780,000",planta 8,Plantas intermedias,exterior,4,1 - 5 rooms,160,Piso intermedio,"4,875",SI,NO,Imperial,Arganzuela
50,"210,000",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,53,Piso peque,"3,962",NO,NO,Legazpi,Arganzuela
51,"569,000",bajo,Sotano,interior,3,1 - 5 rooms,115,Piso intermedio,"4,948",SI,SI,Dﾃｺplex en Legazpi,Arganzuela
52,"370,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,103,Piso intermedio,"3,592",SI,NO,Palos de Moguer,Arganzuela
53,"375,000",planta 1,Plantas inferiores,interior,3,1 - 5 rooms,99,Piso peque,"3,788",SI,NO,Palos de Moguer,Arganzuela
54,"399,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,86,Piso peque,"4,640",NO,NO,Delicias,Arganzuela
55,"1,150,000",planta 18,#N/A,exterior,4,1 - 5 rooms,209,Piso grande,"5,502",SI,SI,Legazpi,Arganzuela
56,"293,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,77,Piso peque,"3,805",SI,NO,Palos de Moguer,Arganzuela
57,"350,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,91,Piso peque,"3,846",SI,NO,Imperial,Arganzuela
58,"275,000",bajo,Sotano,exterior,2,1 - 5 rooms,94,Piso peque,"2,926",SI,NO,Imperial,Arganzuela
59,"410,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,117,Piso intermedio,"3,504",SI,NO,Imperial,Arganzuela
60,"320,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,82,Piso peque,"3,902",SI,NO,Chopera,Arganzuela
61,"470,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,121,Piso intermedio,"3,884",SI,NO,Acacias,Arganzuela
62,"375,000",planta 1,Plantas inferiores,interior,3,1 - 5 rooms,82,Piso peque,"4,573",SI,NO,Chopera,Arganzuela
63,"385,000",planta 2,Plantas inferiores,interior,3,1 - 5 rooms,93,Piso peque,"4,140",SI,NO,Acacias,Arganzuela
64,"249,000",planta 3,Plantas inferiores,interior,2,1 - 5 rooms,54,Piso peque,"4,611",SI,NO,Palos de Moguer,Arganzuela
65,"410,000",planta 5,Plantas intermedias,interior,2,1 - 5 rooms,69,Piso peque,"5,942",SI,SI,Delicias,Arganzuela
66,"530,000",planta 1,Plantas inferiores,exterior,4,1 - 5 rooms,104,Piso intermedio,"5,096",SI,NO,Palos de Moguer,Arganzuela
67,"510,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,108,Piso intermedio,"4,722",SI,NO,Palos de Moguer,Arganzuela
68,"350,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,91,Piso peque,"3,846",SI,NO,Imperial,Arganzuela
69,"395,000",planta 6,Plantas intermedias,exterior,1,1 - 5 rooms,76,Piso peque,"5,197",SI,NO,Chopera,Arganzuela
70,"315,000",planta 6,Plantas intermedias,exterior,3,1 - 5 rooms,78,Piso peque,"4,038",SI,NO,Chopera,Arganzuela
71,"350,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,91,Piso peque,"3,846",SI,NO,Imperial,Arganzuela
72,"370,000",bajo,Sotano,exterior,2,1 - 5 rooms,92,Piso peque,"4,022",SI,NO,Legazpi,Arganzuela
73,"190,000",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,48,Piso peque,"3,958",NO,NO,Imperial,Arganzuela
74,"320,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,82,Piso peque,"3,902",SI,NO,Chopera,Arganzuela
75,"139,000",bajo,Sotano,interior,1,1 - 5 rooms,32,Piso peque,"4,344",NO,NO,Delicias,Arganzuela
76,"175,000",sotano,Sotano,interior,1,1 - 5 rooms,45,Piso peque,"3,889",SI,NO,Delicias,Arganzuela
77,"370,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,103,Piso intermedio,"3,592",SI,NO,Palos de Moguer,Arganzuela
78,"397,000",planta 7,Plantas intermedias,interior,3,1 - 5 rooms,77,Piso peque,"5,156",SI,NO,Acacias,Arganzuela
79,"239,000",planta 2,Plantas inferiores,interior,2,1 - 5 rooms,57,Piso peque,"4,193",NO,NO,Imperial,Arganzuela
80,"210,000",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,53,Piso peque,"3,962",NO,NO,Legazpi,Arganzuela
81,"350,000",planta 5,Plantas intermedias,exterior,1,1 - 5 rooms,63,Piso peque,"5,556",NO,NO,Delicias,Arganzuela
82,"155,000",planta 1,Plantas inferiores,interior,1,1 - 5 rooms,53,Piso peque,"2,925",SI,NO,Chopera,Arganzuela
83,"309,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,80,Piso peque,"3,863",SI,NO,Delicias,Arganzuela
84,"390,000",planta 7,Plantas intermedias,exterior,2,1 - 5 rooms,85,Piso peque,"4,588",SI,NO,Palos de Moguer,Arganzuela
85,"190,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,53,Piso peque,"3,585",SI,NO,Chopera,Arganzuela
86,"340,000",planta 5,Plantas intermedias,interior,2,1 - 5 rooms,57,Piso peque,"5,965",SI,NO,Acacias,Arganzuela
87,"165,000",bajo,Sotano,interior,1,1 - 5 rooms,30,Piso peque,"5,500",SI,NO,Palos de Moguer,Arganzuela
88,"455,000",planta 12,Plantas altas,exterior,3,1 - 5 rooms,105,Piso intermedio,"4,333",SI,NO,Acacias,Arganzuela
89,"225,000",planta 3,Plantas inferiores,interior,2,1 - 5 rooms,58,Piso peque,"3,879",NO,NO,Palos de Moguer,Arganzuela
90,"498,000",planta 5,Plantas intermedias,exterior,3,1 - 5 rooms,143,Piso intermedio,"3,483",SI,SI,Imperial,Arganzuela
91,"335,000",planta 1,Plantas inferiores,exterior,1,1 - 5 rooms,61,Piso peque,"5,492",SI,SI,Acacias,Arganzuela
92,"340,000",planta 5,Plantas intermedias,exterior,1,1 - 5 rooms,60,Piso peque,"5,667",SI,SI,Acacias,Arganzuela
93,"240,000",bajo,Sotano,interior,1,1 - 5 rooms,54,Piso peque,"4,444",SI,NO,Acacias,Arganzuela
94,"450,000",planta 12,Plantas altas,exterior,3,1 - 5 rooms,98,Piso peque,"4,592",SI,NO,Legazpi,Arganzuela
95,"348,000",planta 2,Plantas inferiores,exterior,1,1 - 5 rooms,60,Piso peque,"5,800",SI,SI,Acacias,Arganzuela
96,"355,000",planta 6,Plantas intermedias,exterior,3,1 - 5 rooms,82,Piso peque,"4,329",SI,NO,Acacias,Arganzuela
97,"525,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,136,Piso intermedio,"3,860",SI,NO,Palos de Moguer,Arganzuela
98,"390,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,107,Piso intermedio,"3,645",SI,NO,Palos de Moguer,Arganzuela
99,"249,000",planta 3,Plantas inferiores,interior,2,1 - 5 rooms,54,Piso peque,"4,611",SI,NO,Palos de Moguer,Arganzuela
100,"499,000",planta 7,Plantas intermedias,exterior,2,1 - 5 rooms,102,Piso intermedio,"4,892",SI,NO,Imperial,Arganzuela
101,"144,800",sotano,Sotano,interior,2,1 - 5 rooms,40,Piso peque,"3,620",NO,NO,Delicias,Arganzuela
102,"350,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,91,Piso peque,"3,846",SI,NO,Imperial,Arganzuela
103,"280,000",planta 2,Plantas inferiores,interior,3,1 - 5 rooms,73,Piso peque,"3,836",SI,NO,Chopera,Arganzuela
104,"313,000",planta 1,Plantas inferiores,exterior,2,1 - 5 rooms,67,Piso peque,"4,672",SI,NO,Imperial,Arganzuela
105,"350,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,91,Piso peque,"3,846",SI,NO,Imperial,Arganzuela
106,"190,000",planta 3,Plantas inferiores,interior,2,1 - 5 rooms,44,Piso peque,"4,318",SI,NO,Chopera,Arganzuela
107,"900,000",planta 4,Plantas inferiores,exterior,8,6 - 10 rooms,254,Piso muy grande,"3,543",SI,NO,Palos de Moguer,Arganzuela
108,"219,000",planta 1,Plantas inferiores,interior,2,1 - 5 rooms,53,Piso peque,"4,132",SI,NO,Palos de Moguer,Arganzuela
109,"168,800",planta 1,Plantas inferiores,interior,2,1 - 5 rooms,37,Piso peque,"4,562",SI,NO,Palos de Moguer,Arganzuela
110,"698,000",planta 1,Plantas inferiores,exterior,4,1 - 5 rooms,130,Piso intermedio,"5,369",SI,SI,Acacias,Arganzuela
111,"610,000",planta 3,Plantas inferiores,exterior,3,1 - 5 rooms,131,Piso intermedio,"4,656",SI,NO,Palos de Moguer,Arganzuela
112,"299,000",planta 4,Plantas inferiores,interior,3,1 - 5 rooms,76,Piso peque,"3,934",SI,NO,Chopera,Arganzuela
113,"335,000",planta 3,Plantas inferiores,exterior,3,1 - 5 rooms,79,Piso peque,"4,241",NO,NO,Palos de Moguer,Arganzuela
114,"115,000",planta 3,Plantas inferiores,interior,1,1 - 5 rooms,21,Piso peque,"5,476",SI,NO,Acacias,Arganzuela
115,"355,000",planta 6,Plantas intermedias,exterior,3,1 - 5 rooms,82,Piso peque,"4,329",SI,NO,Acacias,Arganzuela
116,"399,000",planta 1,Plantas inferiores,,2,1 - 5 rooms,83,Piso peque,"4,807",SI,SI,Delicias,Arganzuela
117,"420,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,86,Piso peque,"4,884",SI,SI,Palos de Moguer,Arganzuela
118,"325,000",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,50,Piso peque,"6,500",SI,NO,Palos de Moguer,Arganzuela
119,"209,900",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,53,Piso peque,"3,960",NO,NO,Legazpi,Arganzuela
120,"379,000",planta 2,Plantas inferiores,interior,3,1 - 5 rooms,108,Piso intermedio,"3,509",SI,NO,Chopera,Arganzuela
121,"365,000",planta 2,Plantas inferiores,exterior,1,1 - 5 rooms,69,Piso peque,"5,290",SI,NO,Palos de Moguer,Arganzuela
122,"365,000",planta 3,Plantas inferiores,exterior,1,1 - 5 rooms,69,Piso peque,"5,290",SI,NO,Palos de Moguer,Arganzuela
123,"397,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,100,Piso peque,"3,970",SI,NO,Palos de Moguer,Arganzuela
124,"149,000",bajo,Sotano,interior,1,1 - 5 rooms,32,Piso peque,"4,656",NO,NO,Acacias,Arganzuela
125,"397,000",planta 7,Plantas intermedias,interior,3,1 - 5 rooms,77,Piso peque,"5,156",SI,NO,Acacias,Arganzuela
126,"415,000",planta 4,Plantas inferiores,exterior,3,1 - 5 rooms,72,Piso peque,"5,764",SI,NO,Acacias,Arganzuela
127,"767,000",planta 4,Plantas inferiores,exterior,3,1 - 5 rooms,115,Piso intermedio,"6,670",SI,SI,Acacias,Arganzuela
128,"355,000",planta 6,Plantas intermedias,exterior,3,1 - 5 rooms,79,Piso peque,"4,494",SI,NO,Acacias,Arganzuela
129,"885,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,148,Piso intermedio,"5,980",SI,SI,Acacias,Arganzuela
130,"190,000",planta 2,Plantas inferiores,interior,2,1 - 5 rooms,50,Piso peque,"3,800",SI,NO,Imperial,Arganzuela
131,"159,900",planta 3,Plantas inferiores,interior,1,1 - 5 rooms,38,Piso peque,"4,208",SI,NO,Palos de Moguer,Arganzuela
132,"293,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,77,Piso peque,"3,805",NO,NO,Palos de Moguer,Arganzuela
133,"293,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,77,Piso peque,"3,805",SI,NO,Palos de Moguer,Arganzuela
134,"320,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,82,Piso peque,"3,902",SI,NO,Chopera,Arganzuela
135,"429,999",planta 1,Plantas inferiores,exterior,2,1 - 5 rooms,118,Piso intermedio,"3,644",SI,SI,Legazpi,Arganzuela
136,"293,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,77,Piso peque,"3,805",SI,NO,Palos de Moguer,Arganzuela
137,"190,000",planta 3,Plantas inferiores,exterior,1,1 - 5 rooms,48,Piso peque,"3,958",NO,NO,Imperial,Arganzuela
138,"190,000",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,48,Piso peque,"3,958",NO,NO,Imperial,Arganzuela
139,"190,000",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,48,Piso peque,"3,958",NO,NO,Imperial,Arganzuela
140,"410,000",planta 3,Plantas inferiores,interior,2,1 - 5 rooms,84,Piso peque,"4,881",SI,SI,Palos de Moguer,Arganzuela
141,"520,000",planta 2,Plantas inferiores,exterior,4,1 - 5 rooms,149,Piso intermedio,"3,490",SI,NO,Delicias,Arganzuela
142,"135,000",bajo,Sotano,interior,1,1 - 5 rooms,32,Piso peque,"4,219",NO,NO,Delicias,Arganzuela
143,"350,000",planta 2,Plantas inferiores,exterior,1,1 - 5 rooms,93,Piso peque,"3,763",SI,SI,Legazpi,Arganzuela
144,"330,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,108,Piso intermedio,"3,056",NO,NO,Chopera,Arganzuela
145,"249,000",planta 3,Plantas inferiores,interior,2,1 - 5 rooms,44,Piso peque,"5,659",SI,NO,Palos de Moguer,Arganzuela
146,"545,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,143,Piso intermedio,"3,811",SI,SI,Delicias,Arganzuela
147,"230,000",bajo,Sotano,exterior,3,1 - 5 rooms,80,Piso peque,"2,875",SI,NO,Acacias,Arganzuela
148,"229,000",bajo,Sotano,exterior,3,1 - 5 rooms,66,Piso peque,"3,470",NO,NO,Imperial,Arganzuela
149,"169,000",planta 1,Plantas inferiores,interior,2,1 - 5 rooms,35,Piso peque,"4,829",SI,NO,Delicias,Arganzuela
150,"293,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,77,Piso peque,"3,805",SI,NO,Palos de Moguer,Arganzuela
151,"293,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,77,Piso peque,"3,805",SI,NO,Palos de Moguer,Arganzuela
152,"220,000",bajo,Sotano,exterior,2,1 - 5 rooms,64,Piso peque,"3,438",SI,NO,Palos de Moguer,Arganzuela
153,"293,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,77,Piso peque,"3,805",SI,NO,Palos de Moguer,Arganzuela
154,"159,000",planta 2,Plantas inferiores,exterior,1,1 - 5 rooms,41,Piso peque,"3,878",SI,NO,Delicias,Arganzuela
155,"439,900",planta 7,Plantas intermedias,interior,3,1 - 5 rooms,101,Piso intermedio,"4,355",SI,NO,Delicias,Arganzuela
156,"399,000",planta 1,Plantas inferiores,,2,1 - 5 rooms,83,Piso peque,"4,807",SI,SI,Delicias,Arganzuela
157,"320,000",planta 1,Plantas inferiores,,1,1 - 5 rooms,93,Piso peque,"3,441",SI,SI,Legazpi,Arganzuela
158,"160,000",planta 1,Plantas inferiores,,2,1 - 5 rooms,44,Piso peque,"3,636",SI,NO,Delicias,Arganzuela
159,"320,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,82,Piso peque,"3,902",SI,NO,Chopera,Arganzuela
160,"229,100",planta 1,Plantas inferiores,exterior,1,1 - 5 rooms,49,Piso peque,"4,676",SI,NO,Delicias,Arganzuela
161,"103,000",planta 2,Plantas inferiores,,1,1 - 5 rooms,22,#N/A,"4,682",SI,NO,Acacias,Arganzuela
162,"259,000",planta 5,Plantas intermedias,exterior,2,1 - 5 rooms,56,Piso peque,"4,625",SI,NO,Delicias,Arganzuela
163,"210,000",bajo,Sotano,interior,1,1 - 5 rooms,50,Piso peque,"4,200",SI,NO,Palos de Moguer,Arganzuela
164,"380,000",planta 3,Plantas inferiores,exterior,3,1 - 5 rooms,89,Piso peque,"4,270",SI,NO,Legazpi,Arganzuela
165,"519,000",planta 5,Plantas intermedias,exterior,4,1 - 5 rooms,115,Piso intermedio,"4,513",SI,NO,Chopera,Arganzuela
166,"379,000",planta 4,Plantas inferiores,exterior,3,1 - 5 rooms,98,Piso peque,"3,867",SI,NO,Chopera,Arganzuela
167,"525,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,136,Piso intermedio,"3,860",SI,NO,Palos de Moguer,Arganzuela
168,"180,000",planta 3,Plantas inferiores,interior,1,1 - 5 rooms,50,Piso peque,"3,600",NO,NO,Dﾃｺplex en Imperial,Arganzuela
169,"395,000",bajo,Sotano,exterior,4,1 - 5 rooms,185,Piso grande,"2,135",NO,SI,Imperial,Arganzuela
170,"243,999",planta 3,Plantas inferiores,interior,1,1 - 5 rooms,60,Piso peque,"4,067",SI,NO,Chopera,Arganzuela
171,"179,000",planta 3,Plantas inferiores,interior,1,1 - 5 rooms,40,Piso peque,"4,475",SI,NO,Delicias,Arganzuela
172,"249,000",planta 3,Plantas inferiores,interior,2,1 - 5 rooms,54,Piso peque,"4,611",SI,NO,Palos de Moguer,Arganzuela
173,"397,000",planta 7,Plantas intermedias,interior,3,1 - 5 rooms,77,Piso peque,"5,156",SI,NO,Acacias,Arganzuela
174,"320,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,82,Piso peque,"3,902",SI,NO,Chopera,Arganzuela
175,"397,000",planta 7,Plantas intermedias,interior,3,1 - 5 rooms,77,Piso peque,"5,156",SI,NO,Acacias,Arganzuela
176,"397,000",planta 7,Plantas intermedias,interior,3,1 - 5 rooms,77,Piso peque,"5,156",SI,NO,Acacias,Arganzuela
177,"397,000",planta 7,Plantas intermedias,interior,3,1 - 5 rooms,77,Piso peque,"5,156",SI,NO,Acacias,Arganzuela
178,"475,000",planta 2,Plantas inferiores,exterior,5,1 - 5 rooms,136,Piso intermedio,"3,493",NO,NO,Delicias,Arganzuela
179,"440,000",planta 12,Plantas altas,exterior,3,1 - 5 rooms,90,Piso peque,"4,889",SI,NO,Legazpi,Arganzuela
180,"450,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,128,Piso intermedio,"3,516",SI,NO,Palos de Moguer,Arganzuela
181,"450,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,126,Piso intermedio,"3,571",SI,NO,Palos de Moguer,Arganzuela
182,"380,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,98,Piso peque,"3,878",SI,NO,Chopera,Arganzuela
183,"515,000",planta 1,Plantas inferiores,exterior,4,1 - 5 rooms,131,Piso intermedio,"3,931",SI,NO,Chopera,Arganzuela
184,"175,000",bajo,Sotano,interior,1,1 - 5 rooms,45,Piso peque,"3,889",NO,NO,Delicias,Arganzuela
185,"223,000",planta 3,Plantas inferiores,interior,2,1 - 5 rooms,54,Piso peque,"4,130",SI,NO,Acacias,Arganzuela
186,"545,000",planta 8,Plantas intermedias,exterior,4,1 - 5 rooms,114,Piso intermedio,"4,781",SI,SI,Palos de Moguer,Arganzuela
187,"397,000",planta 7,Plantas intermedias,interior,3,1 - 5 rooms,77,Piso peque,"5,156",SI,NO,Acacias,Arganzuela
188,"278,000",planta 1,Plantas inferiores,,3,1 - 5 rooms,73,Piso peque,"3,808",SI,NO,Chopera,Arganzuela
189,"309,900",planta 7,Plantas intermedias,exterior,1,1 - 5 rooms,57,Piso peque,"5,437",SI,SI,Legazpi,Arganzuela
190,"72,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,36,Piso peque,"2,000",NO,NO,Delicias,Arganzuela
191,"315,000",planta 2,Plantas inferiores,interior,3,1 - 5 rooms,72,Piso peque,"4,375",SI,NO,Delicias,Arganzuela
192,"640,000",planta 4,Plantas inferiores,exterior,3,1 - 5 rooms,123,Piso intermedio,"5,203",SI,SI,Legazpi,Arganzuela
193,"225,000",planta 1,Plantas inferiores,interior,1,1 - 5 rooms,40,Piso peque,"5,625",SI,NO,Delicias,Arganzuela
194,"162,500",bajo,Sotano,exterior,3,1 - 5 rooms,53,Piso peque,"3,066",SI,NO,Chopera,Arganzuela
195,"397,000",planta 7,Plantas intermedias,interior,3,1 - 5 rooms,77,Piso peque,"5,156",SI,NO,Acacias,Arganzuela
196,"285,000",planta 5,Plantas intermedias,interior,3,1 - 5 rooms,74,Piso peque,"3,851",SI,NO,Acacias,Arganzuela
197,"280,000",bajo,Sotano,exterior,1,1 - 5 rooms,71,Piso peque,"3,944",NO,NO,Acacias,Arganzuela
198,"399,000",planta 1,Plantas inferiores,exterior,2,1 - 5 rooms,80,Piso peque,"4,988",SI,SI,Legazpi,Arganzuela
199,"295,000",planta 4,Plantas inferiores,exterior,1,1 - 5 rooms,79,Piso peque,"3,734",SI,NO,Legazpi,Arganzuela
200,"525,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,126,Piso intermedio,"4,167",SI,NO,Palos de Moguer,Arganzuela
201,"315,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,85,Piso peque,"3,706",SI,NO,Delicias,Arganzuela
